Tray,Cup,Line,Sex,Tube,Yellow,Start,Dusk1,Day1,Day1end,Day1mate,Day2,Day2End,Day2mate,Day3,Day3End,Day3mate,Dusk2,Late,Dusk&Day,Matings
6,12,R1_5,Male,462,25-,DAY,NA,15:30,15:45,neo,,,,,,,,,Day,1
6,13,R2,Male,463,75,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
6,14,R2,Male,464,100,DAY,NA,,,,,,,,,,,,None,0
6,15,R2,Male,465,95,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
6,16,R2,Male,466,75+,DAY,NA,,,,,,,,,,,,None,0
6,17,R2,Male,467,95,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
6,18,R2,Male,468,100,DAY,NA,,,,,,,,,,,,None,0
8,1,R1_1,Male,487,95,DAY,NA,,,,,,,,,,,XX,None,0
8,2,R1_1,Male,488,95,DAY,NA,16:00,16:15,neo,,,,,,,neo,,Dusk,2
8,3,R1_1,Male,489,95,DAY,NA,,,,,,,,,,,,None,0
8,4,R1_1,Male,490,95,DAY,NA,,,,,,,,,,,,None,0
8,5,R1_1,Male,491,95,DAY,NA,,,,,,,,,,,,None,0
8,6,R1_1,Male,492,75+,DAY,NA,,,,,,,,,,,,None,0
8,7,R1_5,Male,493,5,DAY,NA,15:45,16:00,neo,,,,,,,,,Day,1
8,8,R1_5,Male,494,75,DAY,NA,,,,,,,,,,,,None,0
8,9,R1_5,Male,495,75,DAY,NA,,,,,,,,,,,,None,0
8,10,R1_5,Male,496,75,DAY,NA,15:45,16:00,neo,,,,,,,,,Day,1
8,11,R1_5,Male,497,75+,DAY,NA,14:15,14:45,neo,,,,,,,,,Day,1
8,12,R1_5,Male,498,50,DAY,NA,,,,,,,,,,,,None,0
8,13,R2,Male,499,5,DAY,NA,,,,,,,,,,,,None,0
8,14,R2,Male,500,95,DAY,NA,,,,,,,,,,,,None,0
8,15,R2,Male,501,95,DAY,NA,,,,,,,,,,neo,,Dusk,1
8,16,R2,Male,502,95,DAY,NA,,,,,,,,,,,DISCARD,None,0
8,17,R2,Male,503,25-,DAY,NA,,,,,,,,,,,,None,0
8,18,R2,Male,504,95,DAY,NA,,,,,,,,,,,,None,0
10,1,R1_1,Male,523,95,DAY,NA,16:00,16:15,neo,,,,,,,,,None,1
10,2,R1_1,Male,524,95,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
10,3,R1_1,Male,525,95,DAY,NA,16:30,Dusk,neo,,,,,,,neo,,Dusk,2
10,4,R1_1,Male,526,25-,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
10,5,R1_1,Male,527,5,DAY,NA,16:15,16:30,tryoni,,,,,,,,,None,1
10,6,R1_1,Male,528,95,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
10,7,R1_5,Male,529,75,DAY,NA,15:45,16:00,neo,,,,,,,,,Day,1
10,8,R1_5,Male,530,50,DAY,NA,16:30,Dusk,tryoni,,,,,,,tryoni,,Dusk,2
10,9,R1_5,Male,531,50,DAY,NA,,,,,,,,,,,,None,0
10,10,R1_5,Male,532,25,DAY,NA,,,,,,,,,,,,None,0
10,11,R1_5,Male,533,5,DAY,NA,16:15,16:30,tryoni,,,,,,,,,None,1
10,12,R1_5,Male,534,5,DAY,NA,16:00,16:15,tryoni,,,,,,,,,None,1
10,13,R2,Male,535,0,DAY,NA,14:15,14:45,neo,16:15,Dusk,tryoni,,,,tryoni,,Both,3
10,14,R2,Male,536,75+,DAY,NA,,,,,,,,,,,,None,0
10,15,R2,Male,537,95,DAY,NA,,,,,,,,,,,tryoni,None,0
10,16,R2,Male,538,75,DAY,NA,,,,,,,,,,,,None,0
10,17,R2,Male,539,75,DAY,NA,,,,,,,,,,,,None,0
10,18,R2,Male,540,95,DAY,NA,,,,,,,,,,,,None,0
12,1,R1_1,Male,559,95,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
12,2,R1_1,Male,560,25-,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
12,3,R1_1,Male,561,95,DAY,NA,16:15,Dusk,tryoni,,,,,,,tryoni,,Dusk,2
12,4,R1_1,Male,562,95,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
12,5,R1_1,Male,563,0,DAY,NA,15:00,15:15,neo,,,,,,,,,Day,1
12,6,R1_1,Male,564,95,DAY,NA,,,,,,,,,,,,None,0
12,7,R1_5,Male,565,25-,DAY,NA,,,,,,,,,,neo,,Dusk,1
12,8,R1_5,Male,566,25,DAY,NA,12:30,12:45,neo,,,,,,,,,Day,1
12,9,R1_5,Male,567,25+,DAY,NA,15:00,15:45,neo,,,,,,,,,Day,1
12,10,R1_5,Male,568,5,DAY,NA,,,,,,,,,,,,None,0
12,11,R1_5,Male,569,50,DAY,NA,,,,,,,,,,,,None,0
12,12,R1_5,Male,570,50,DAY,NA,,,,,,,,,,,,None,0
12,13,R2,Male,571,95,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
12,14,R2,Male,572,95,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
12,15,R2,Male,573,75,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
12,16,R2,Male,574,95,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
12,17,R2,Male,575,75+,DAY,NA,,,,,,,,,,,,None,0
12,18,R2,Male,576,75,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
14,1,R1_1,Male,595,95,DAY,NA,,,,,,,,,,,,None,0
14,2,R1_1,Male,596,95,DAY,NA,16:00,16:30,neo,,,,,,,,,None,1
14,3,R1_1,Male,597,95,DAY,NA,16:30,Dusk,tryoni,,,,,,,tryoni,,Dusk,2
14,4,R1_1,Male,598,100,DAY,NA,16:30,Dusk,neo,,,,,,,neo,,Dusk,2
14,5,R1_1,Male,599,75+,DAY,NA,16:30,16:45,neo,,,,,,,tryoni,,Dusk,2
14,6,R1_1,Male,600,75,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
14,7,R1_5,Male,601,50,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
14,8,R1_5,Male,602,25-,DAY,NA,,,,,,,,,,,,None,0
14,9,R1_5,Male,603,25-,DAY,NA,,,,,,,,,,,,None,0
14,10,R1_5,Male,604,25,DAY,NA,,,,,,,,,,,,None,0
14,11,R1_5,Male,605,25,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
14,12,R1_5,Male,606,0,DAY,NA,15:00,15:15,neo,15:30,15:45,neo,16:15,16:30,neo,tryoni,,Both,4
14,13,R2,Male,607,75,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
14,14,R2,Male,608,0,DAY,NA,,,,,,,,,,,,None,0
14,15,R2,Male,609,95,DAY,NA,,,,,,,,,,,,None,0
14,16,R2,Male,610,75+,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
14,17,R2,Male,611,95,DAY,NA,,,,,,,,,,,,None,0
14,18,R2,Male,612,75+,DAY,NA,,,,,,,,,,,,None,0
16,1,R1_1,Male,631,75+,DAY,NA,,,,,,,,,,,,None,0
16,2,R1_1,Male,632,5,DAY,NA,,,,,,,,,,neo,,Dusk,1
16,3,R1_1,Male,633,0,DAY,NA,,,,,,,,,,,,None,0
16,4,R1_1,Male,634,5,DAY,NA,14:00,14:15,neo,,,,,,,,,Day,1
16,5,R1_1,Male,635,95,DAY,NA,,,,,,,,,,,,None,0
16,6,R1_1,Male,636,95,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
16,7,R1_5,Male,637,25,DAY,NA,,,,,,,,,,,,None,0
16,8,R1_5,Male,638,0,DAY,NA,15:30,16:00,neo,,,,,,,,,Day,1
16,9,R1_5,Male,639,25-,DAY,NA,15:45,16:00,neo,,,,,,,neo,,Both,2
16,10,R1_5,Male,640,25-,DAY,NA,15:45,16:00,tryoni,,,,,,,,,Day,1
16,11,R1_5,Male,641,5,DAY,NA,,,,,,,,,,,,None,0
16,12,R1_5,Male,642,5,DAY,NA,13:45,14:00,neo,15:30,16:00,neo,,,,,,Day,2
16,13,R2,Male,643,95,DAY,NA,,,,,,,,,,,,None,0
16,14,R2,Male,644,95,DAY,NA,,,,,,,,,,,,None,0
16,15,R2,Male,645,0,DAY,NA,,,,,,,,,,,,None,0
16,16,R2,Male,646,95,DAY,NA,,,,,,,,,,,,None,0
16,17,R2,Male,647,75+,DAY,NA,,,,,,,,,,,,None,0
16,18,R2,Male,648,5,DAY,NA,,,,,,,,,,,,None,0
18,1,R1_1,Male,667,95,DAY,NA,,,,,,,,,,,,None,0
18,2,R1_1,Male,668,75,DAY,NA,,,,,,,,,,,,None,0
18,3,R1_1,Male,669,75+,DAY,NA,,,,,,,,,,,,None,0
18,4,R1_1,Male,670,95,DAY,NA,15:15,15:30,neo,,,,,,,tryoni,,Both,2
18,5,R1_1,Male,671,5,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
18,6,R1_1,Male,672,75+,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
18,7,R1_5,Male,673,25,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
18,8,R1_5,Male,674,25-,DAY,NA,16:00,16:15,neo,,,,,,,,,None,1
18,9,R1_5,Male,675,50,DAY,NA,15:00,15:45,neo,,,,,,,,,Day,1
18,10,R1_5,Male,676,25-,DAY,NA,,,,,,,,,,,,None,0
18,11,R1_5,Male,677,5,DAY,NA,14:15,16:00,neo,,,,,,,,,Day,1
18,12,R1_5,Male,678,75,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
18,13,R2,Male,679,95,DAY,NA,,,,,,,,,,,,None,0
18,14,R2,Male,680,75+,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
18,15,R2,Male,681,95,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
18,16,R2,Male,682,95,DAY,NA,,,,,,,,,,,DISCARD,None,0
18,17,R2,Male,683,25,DAY,NA,,,,,,,,,,,DISCARD,None,0
18,18,R2,Male,684,75+,DAY,NA,,,,,,,,,,,,None,0
20,1,R1_1,Male,703,95,DAY,NA,,,,,,,,,,,,None,0
20,2,R1_1,Male,704,95,DAY,NA,,,,,,,,,,,,None,0
20,3,R1_1,Male,705,75+,DAY,NA,,,,,,,,,,,,None,0
20,4,R1_1,Male,706,75+,DAY,NA,,,,,,,,,,,,None,0
20,5,R1_1,Male,707,95,DAY,NA,15:30,16:00,neo,,,,,,,,,Day,1
20,6,R1_1,Male,708,75+,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
20,7,R1_5,Male,709,25-,DAY,NA,16:00,Dusk,neo,,,,,,,neo,,Dusk,2
20,8,R1_5,Male,710,50,DAY,NA,,,,,,,,,,,,None,0
20,9,R1_5,Male,711,50,DAY,NA,,,,,,,,,,,,None,0
20,10,R1_5,Male,712,5,DAY,NA,14:30,15:15,neo,,,,,,,,,Day,1
20,11,R1_5,Male,713,50,DAY,NA,,,,,,,,,,,DISCARD,None,0
20,12,R1_5,Male,714,50,DAY,NA,15:45,16:00,neo,,,,,,,,,Day,1
20,13,R2,Male,715,75+,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
20,14,R2,Male,716,95,DAY,NA,,,,,,,,,,,,None,0
20,15,R2,Male,717,95,DAY,NA,,,,,,,,,,,,None,0
20,16,R2,Male,718,95,DAY,NA,,,,,,,,,,,,None,0
20,17,R2,Male,719,95,DAY,NA,,,,,,,,,,,,None,0
20,18,R2,Male,720,95,DAY,NA,,,,,,,,,,,,None,0
Control,Control1,neoC,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control1,S06,Male,,,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
Control,Control10,neoC,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control10,S06,Male,,,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
Control,Control11,neoC,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control11,S06,Male,,,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
Control,Control12,neoC,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control12,S06,Male,,,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
Control,Control13,neoC,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control13,S06,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control14,neoC,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control14,S06,Male,,,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
Control,Control15,neoC,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control15,S06,Male,,,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
Control,Control2,neoC,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control2,S06,Male,,,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
Control,Control3,neoC,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control3,S06,Male,,,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
Control,Control4,neoC,Male,,,DAY,NA,9:15,9:30,neo,10:00,10:15,neo,,,,,,Day,2
Control,Control4,S06,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control5,neoC,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control5,S06,Male,,,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
Control,Control6,neoC,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control6,S06,Male,,,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
Control,Control7,neoC,Male,,,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
Control,Control7,S06,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control8,neoC,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control8,S06,Male,,,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
Control,Control9,neoC,Male,,,DAY,NA,,,,,,,,,,,,None,0
Control,Control9,S06,Male,,,DAY,NA,,,,,,,,,,tryoni,,Dusk,1
