No,Line,Tray,Time_Start,Time_End,Remarks1,Time_Start2,Time_End2,Remark2,Early,Late,Difference,Callus
334,2_5,12,17:53,,,,,,17:53:00,17:53:00,0:00:00,5
335,2_5,13,16:52,,,,,,16:52:00,16:52:00,0:00:00,5
336,2_6,14,17:34,,,,,,17:34:00,17:34:00,0:00:00,4
337,2_6,15,15:22,,,,,,15:22:00,15:22:00,0:00:00,
338,2_6,16,15:55,,,,,,15:55:00,15:55:00,0:00:00,5
339,2_6,17,17:30,,,,,,17:30:00,17:30:00,0:00:00,4
340,2_6,18,17:39,,,17:34,,,17:34:00,17:39:00,0:05:00,5
341,2_6,19,15:24,,,,,,15:24:00,15:24:00,0:00:00,
342,2_6,20,15:44,,,,,,15:44:00,15:44:00,0:00:00,5
343,2_6,21,,,,,,,,,,4
344,2_6,22,16:15,,,,,,16:15:00,16:15:00,0:00:00,4
345,2_6,23,15:24,,,,,,15:24:00,15:24:00,0:00:00,
346,2_6,1,16:12,,,17:26,,,16:12:00,17:26:00,1:14:00,1
347,2_6,2,16:15,,,17:15,,,16:15:00,17:15:00,1:00:00,5
348,2_6,3,18:01,,,,,,18:01:00,18:01:00,0:00:00,4
349,2_6,4,,,,,,,,,,1
350,2_6,5,17:19,,,17:30,,,17:19:00,17:30:00,0:11:00,4
351,2_7,6,16:02,,,,,,16:02:00,16:02:00,0:00:00,5
352,2_7,7,16:32,,,17:20,,,16:32:00,17:20:00,0:48:00,5
353,1_3,8,16:57,,,17:06,,,16:57:00,17:06:00,0:09:00,4
354,1_5,9,15:25,,,14:38,,,14:38:00,15:25:00,0:47:00,3
355,1_5,10,14:40,,,16:57,,,14:40:00,16:57:00,2:17:00,4
356,1_5,11,15:00,,,,,,15:00:00,15:00:00,0:00:00,5
357,1_5,12,15:52,,,,,,15:52:00,15:52:00,0:00:00,1
358,1_5,13,,,,17:10,,,17:10:00,17:10:00,0:00:00,3
359,1_5,14,15:22,,,,,,15:22:00,15:22:00,0:00:00,3
360,1_5,15,,,,,,,,,,4
361,1_5,16,15:55,,,,,,15:55:00,15:55:00,0:00:00,5
362,Unk,17,,,,,,,,,,5
363,Unk,18,17:36,,,16:15,,,16:15:00,17:36:00,1:21:00,5
364,Unk,19,,,,16:11,,,16:11:00,16:11:00,0:00:00,5
365,Unk,20,16:17,,,,,,16:17:00,16:17:00,0:00:00,5
366,3_1,21,16:08,,,15:22,,,15:22:00,16:08:00,0:46:00,5
367,3_1,22,15:54,,,,,,15:54:00,15:54:00,0:00:00,5
368,3_1,23,16:39,,,,,,16:39:00,16:39:00,0:00:00,5
369,3_1,1,14:22,,,17:15,,,14:22:00,17:15:00,2:53:00,5
370,3_1,2,16:07,,,,,,16:07:00,16:07:00,0:00:00,5
371,3_1,3,,,,17:18,,,17:18:00,17:18:00,0:00:00,5
372,3_1,4,15:20,,,,,,15:20:00,15:20:00,0:00:00,
373,3_1,5,,,,,,,,,,5
374,3_1,6,16:16,,,,,,16:16:00,16:16:00,0:00:00,5
375,3_1,7,,,,17:45,,,17:45:00,17:45:00,0:00:00,5
376,3_1,8,15:40,,,,,,15:40:00,15:40:00,0:00:00,5
377,3_1,9,15:47,,,,,,15:47:00,15:47:00,0:00:00,5
378,3_1,10,17:22,,,,,,17:22:00,17:22:00,0:00:00,5
379,3_1,11,14:36,,,17:30,,,14:36:00,17:30:00,2:54:00,5
380,3_1,12,,,,,,,,,,5
381,3_2,13,17:43,,,,,,17:43:00,17:43:00,0:00:00,2
382,3_2,14,14:21,,,,,,14:21:00,14:21:00,0:00:00,
383,3_2,15,17:16,,,17:21,,,17:16:00,17:21:00,0:05:00,5
